epoch_index,train_serial,train_loss,train_elapsed_time,train_map,train_map_50,train_map_75,val_loss,val_elapsed_time,val_map,val_map_50,val_map_75
0,20231105_031409,0.17413241041861505,7986.52011013031,0.88391733,0.9015491,0.9004506,0.021404539331793784,149.22048687934875,0.9999258,1.0,1.0
1,20231105_031409,0.07874822450838237,7914.073818445206,0.97513777,0.9868883,0.98618364,0.019825815975666045,147.40372490882874,0.99987,1.0,1.0
2,20231105_031409,0.06437316097670993,7890.737471818924,0.982293,0.99175847,0.99104834,0.01490762809664011,147.0896713733673,0.99995,1.0,1.0
3,20231105_031409,0.055216423807132854,7887.839002132416,0.98609966,0.994117,0.99316406,0.015146896064281464,146.9632487297058,1.0,1.0,1.0
4,20231105_031409,0.047561735563171254,7877.099245071411,0.98807496,0.9952593,0.9942752,0.013882302694022656,146.59575152397156,0.99996954,1.0,1.0
5,20231105_031409,0.04409960134042655,7882.255842447281,0.98934007,0.99567807,0.9948478,0.013842271685600281,147.08291625976562,0.99994665,1.0,1.0
6,20231105_031409,0.04002063223657923,7879.231438875198,0.9906241,0.99633026,0.9953195,0.012297609187662602,145.0700180530548,1.0,1.0,1.0
7,20231105_031409,0.03768352420885641,7876.828456401825,0.9912807,0.996591,0.9956134,0.012813487581908704,146.78072452545166,1.0,1.0,1.0
8,20231105_031409,0.034370142587843516,7868.9637570381165,0.99227047,0.99710494,0.996017,0.011621023945510388,147.18156909942627,1.0,1.0,1.0
9,20231105_031409,0.0326370177307967,7864.651071548462,0.9929308,0.99757755,0.9965349,0.011662081867456436,146.55508685112,0.99994665,1.0,1.0
10,20231105_031409,0.030764572826187726,7861.893571615219,0.9935605,0.99780333,0.9967264,0.010801536202430725,146.78351521492004,1.0,1.0,1.0
11,20231105_031409,0.02894236118081426,7855.429421424866,0.9939034,0.99800146,0.99706686,0.010666360646486283,146.8359317779541,1.0,1.0,1.0
12,20231105_031409,0.027275197603584447,7857.086490154266,0.99453056,0.99836576,0.9973692,0.011018059700727462,147.06627202033997,0.99995,1.0,1.0
13,20231105_031409,0.026606193507708504,7864.093392372131,0.994848,0.9985392,0.9976144,0.010574935302138329,146.69823741912842,1.0,1.0,1.0
14,20231105_031409,0.024783568784363063,7855.237317085266,0.9952989,0.9988082,0.9978127,0.010611727334558963,147.0092635154724,1.0,1.0,1.0
15,20231105_031409,0.023684946604591917,7854.799654483795,0.9956726,0.99888724,0.99801177,0.010180425122380257,147.05304741859436,1.0,1.0,1.0
16,20231105_031409,0.022351068378040868,7856.217143058777,0.9961205,0.9991457,0.9983521,0.009888717629015446,146.99508953094482,1.0,1.0,1.0
17,20231105_031409,0.021905496380263918,7851.085966348648,0.99638134,0.9992719,0.99862427,0.010109584718942643,146.5848867893219,0.9995,0.9995,0.9995
18,20231105_031409,0.02012812001644257,7844.600578784943,0.99667877,0.99943554,0.99876547,0.009490837447345257,147.04727697372437,0.99994665,1.0,1.0
19,20231105_031409,0.01985271279383575,7856.425029754639,0.99681395,0.9995146,0.998773,0.009456901237368583,147.39318180084229,1.0,1.0,1.0
20,20231105_031409,0.018854792773847107,7861.313898563385,0.9971033,0.99963635,0.9989668,0.009357788670808076,146.85231113433838,1.0,1.0,1.0
21,20231105_031409,0.017859725668126124,7852.7671864032745,0.99730223,0.999711,0.99900615,0.009580872125923633,147.07097458839417,1.0,1.0,1.0
22,20231105_031409,0.017215304207650974,7853.944619178772,0.9975073,0.9997973,0.9992154,0.00974818430840969,147.07385349273682,1.0,1.0,1.0
23,20231105_031409,0.016962753026746213,7862.746685743332,0.99760133,0.99973786,0.9992418,0.009014238592237234,147.46277832984924,1.0,1.0,1.0
24,20231105_031409,0.01615987995667018,7844.1544070243835,0.99773633,0.9997449,0.9993113,0.008869117856025696,145.05337715148926,1.0,1.0,1.0
