epoch_index,train_serial,train_loss,train_elapsed_time,train_map,train_map_50,train_map_75,val_loss,val_elapsed_time,val_map,val_map_50,val_map_75
0,20231020_030119,0.16859602436434162,1603.5539746284485,0.8482641,0.85736936,0.8570486,0.0372188189140861,115.79667687416077,0.99897945,0.9999244,0.9999244
1,20231020_030119,0.03237403696810191,1581.9310791492462,0.9968215,0.9997726,0.9997188,0.01917779046509947,115.07472896575928,0.9998319,1.0,1.0
2,20231020_030119,0.02630523437737289,1578.3641955852509,0.9983147,0.9999233,0.99990374,0.01781122711679292,114.18813991546631,0.99911386,0.99945265,0.99945265
3,20231020_030119,0.022945644685580413,1577.0569117069244,0.99886453,0.9999662,0.9999662,0.020235036366752217,114.24984240531921,0.9999777,1.0,1.0
4,20231020_030119,0.02110143452909919,1575.671505689621,0.99912417,0.9999135,0.9999135,0.015679963627859714,114.1845350265503,0.99997574,1.0,1.0
5,20231020_030119,0.01919804167670385,1575.304808139801,0.9992875,0.99989945,0.999866,0.015518312978129539,113.74816179275513,1.0,1.0,1.0
6,20231020_030119,0.016750396241545243,1573.3316884040833,0.999479,0.99987614,0.99987614,0.015882697148573776,113.93515539169312,0.99996585,1.0,1.0
7,20231020_030119,0.014768450896991499,1571.6091194152832,0.9995939,1.0,0.999946,0.014594699315253704,113.59067964553833,1.0,1.0,1.0
8,20231020_030119,0.01404632017173894,1570.482653617859,0.99974996,1.0,1.0,0.012496155893637074,113.74315071105957,1.0,1.0,1.0
9,20231020_030119,0.014056434915957663,1571.7814764976501,0.99979776,1.0,1.0,0.013366309068505727,113.77297711372375,1.0,1.0,1.0
10,20231020_030119,0.012120725018170502,1569.7906358242035,0.9996891,0.99995434,0.99995434,0.012694504126788133,114.13722777366638,1.0,1.0,1.0
11,20231020_030119,0.012332401792288,1570.8912780284882,0.9998603,1.0,1.0,0.011699507323404154,113.79275131225586,1.0,1.0,1.0
12,20231020_030119,0.010598841799374224,1569.6461787223816,0.9998324,1.0,1.0,0.01187344327095955,113.55783224105835,1.0,1.0,1.0
13,20231020_030119,0.010004948382741031,1568.6885423660278,0.9998682,1.0,1.0,0.013085633811969605,113.99770903587341,1.0,1.0,1.0
14,20231020_030119,0.012608747602149887,1571.9029006958008,0.9998296,0.9999951,0.9999951,0.011756909848560416,113.60130381584167,1.0,1.0,1.0
15,20231020_030119,0.009922883245257698,1570.3823642730713,0.9997168,0.9999359,0.9999159,0.011696559140488269,113.69304537773132,1.0,1.0,1.0
16,20231020_030119,0.010251749023854864,1570.3241920471191,0.9997703,0.99995774,0.99995774,0.012115684160519214,113.85456228256226,1.0,1.0,1.0
17,20231020_030119,0.00837272135119983,1568.1118698120117,0.99990886,1.0,1.0,0.01096121096126144,113.53928017616272,1.0,1.0,1.0
18,20231020_030119,0.00759619622933882,1567.6067609786987,0.99993914,1.0,1.0,0.010012041008661664,113.43325591087341,1.0,1.0,1.0
19,20231020_030119,0.007337344352851022,1568.8055844306946,0.9999435,1.0,1.0,0.010073264173808553,113.63612842559814,1.0,1.0,1.0
20,20231020_030119,0.007651819462640857,1569.3677115440369,0.9998952,1.0,1.0,0.01045760533048047,113.79646229743958,1.0,1.0,1.0
21,20231020_030119,0.006940001114773898,1569.6747000217438,0.9999217,0.99997956,0.99997956,0.010192039319210582,113.73540592193604,1.0,1.0,1.0
22,20231020_030119,0.006870323619004285,1569.5755352973938,0.99988467,1.0,1.0,0.009820215596211336,113.4597978591919,1.0,1.0,1.0
23,20231020_030119,0.006435865930039924,1569.6581060886383,0.9999401,1.0,0.99997765,0.010084576387372281,113.90753030776978,1.0,1.0,1.0
24,20231020_030119,0.0063015893081328,1573.586434841156,0.9999438,1.0,1.0,0.009911933499905799,114.37729215621948,1.0,1.0,1.0
25,20231020_030119,0.0059000683137902625,1572.4535248279572,0.9999419,1.0,1.0,0.009692242102963584,113.62890934944153,1.0,1.0,1.0
26,20231020_030119,0.00535769459761614,1570.2919862270355,0.9999679,1.0,1.0,0.010038185155107862,113.7151358127594,1.0,1.0,1.0
27,20231020_030119,0.005538763359607179,1570.9819753170013,0.9999242,1.0,1.0,0.010056567777480398,113.65008807182312,1.0,1.0,1.0
28,20231020_030119,0.005283164765628777,1569.7136409282684,0.9999236,1.0,1.0,0.009854540243626588,113.68204307556152,1.0,1.0,1.0
29,20231020_030119,0.005139543391823899,1566.9398097991943,0.9999626,1.0,1.0,0.00996939687147027,114.31172680854797,1.0,1.0,1.0
