epoch_index,train_serial,train_loss,train_elapsed_time,train_map,train_map_50,train_map_75,val_loss,val_elapsed_time,val_map,val_map_50,val_map_75
0,20231031_222054,0.14822165943127882,2011.021047592163,0.91143286,0.91208774,0.91205364,0.022369708761572838,144.41236543655396,0.9995906,1.0,0.9994286
1,20231031_222054,0.02783138875086689,1984.8845312595367,0.9997612,0.99977726,0.99977726,0.01740078368782997,144.70483446121216,0.9998286,1.0,1.0
2,20231031_222054,0.013193341389157145,2001.8936069011688,0.9999838,1.0,1.0,0.016663927026093005,148.35506868362427,0.9995555,0.9995555,0.9995555
3,20231031_222054,0.015888606988499518,2003.5598900318146,0.9999838,1.0,0.9999742,0.19148144756257535,151.08289337158203,0.9778281,0.97863036,0.97863036
4,20231031_222054,0.019140179209576894,2020.1301484107971,0.99963385,0.999702,0.9996412,0.031057266429066657,150.90263032913208,0.9997768,1.0,1.0
5,20231031_222054,0.014798558282140809,2035.1360394954681,0.9998615,0.99988586,0.99988586,0.014719748012721539,148.18141055107117,1.0,1.0,1.0
6,20231031_222054,0.00981593534505276,2030.020479440689,0.9999722,1.0,0.9999722,0.012094259805977345,152.06141304969788,0.9995,0.9995,0.9995
7,20231031_222054,0.009030113925982096,2027.0231575965881,1.0,1.0,1.0,0.01218364578485489,151.84386372566223,0.9995294,0.9995294,0.9995294
8,20231031_222054,0.015828433212227058,2032.6727516651154,0.9998512,0.9998611,0.9998611,0.013155947670340538,152.48679399490356,0.9999111,1.0,1.0
9,20231031_222054,0.012164922537761696,2032.542843580246,0.9996556,0.9996668,0.9996668,0.012483351297676564,147.75257301330566,0.99977994,0.99977994,0.99977994
10,20231031_222054,0.0084968217929457,2027.7618505954742,0.99989724,0.9999639,0.9998792,0.011486516565084457,151.83418011665344,0.9998317,0.9998317,0.9998317
11,20231031_222054,0.007885235271407774,2029.1071469783783,0.99996173,1.0,1.0,0.01162442497909069,152.41761374473572,0.9995,0.9995,0.9995
12,20231031_222054,0.012321161038638314,2032.9662647247314,0.9996956,0.99972075,0.99970686,0.011390104845166206,150.88417434692383,1.0,1.0,1.0
13,20231031_222054,0.007679498982347445,2030.8421082496643,0.9999536,1.0,0.99993366,0.012587710030376911,152.489741563797,0.9994286,0.9994286,0.9994286
14,20231031_222054,0.00721206368788816,2028.170590877533,0.999987,1.0,1.0,0.012167099297046662,151.47933316230774,0.99957895,0.99957895,0.99957895
15,20231031_222054,0.006821948216710427,2026.0135712623596,0.9999436,1.0,0.99993366,0.010845593221485615,151.8112907409668,0.99973595,0.99973595,0.99973595
16,20231031_222054,0.009208026366888455,2028.4710285663605,0.9999755,0.9999811,0.9999811,0.011133730851113795,152.29118275642395,0.99946666,0.99946666,0.99946666
17,20231031_222054,0.007248252300432809,2029.2151522636414,0.9999957,1.0,1.0,0.010596956104040146,147.81717109680176,0.9994286,0.9994286,0.9994286
18,20231031_222054,0.006188752667341221,2029.359215259552,0.9999948,1.0,1.0,0.010568189434707165,151.80458068847656,0.99946666,0.99946666,0.99946666
19,20231031_222054,0.0059501378537841106,2027.5890510082245,0.9999459,1.0,0.99996966,0.010741570100188256,152.2103385925293,0.99946666,0.99946666,0.99946666
20,20231031_222054,0.005887592368963685,2026.9674484729767,0.99994946,1.0,0.9999479,0.011087490394711495,152.44889545440674,0.99938464,0.99938464,0.99938464
21,20231031_222054,0.006323597055977383,2029.80632686615,0.99997026,0.999976,0.999976,0.011919847726821899,147.66686081886292,0.9995294,0.9995294,0.9995294
22,20231031_222054,0.005338098066346075,2028.3162682056427,1.0,1.0,1.0,0.009980407774448394,151.8550181388855,0.9996953,0.9996953,0.9996953
23,20231031_222054,0.005173617979527922,2027.8939514160156,0.9999919,1.0,1.0,0.009826987441629171,152.4295310974121,0.99975246,0.99975246,0.99975246
24,20231031_222054,0.005049991966880733,2027.6263360977173,0.9999867,1.0,1.0,0.010582949168980121,147.6126639842987,0.9996953,0.9996953,0.9996953
25,20231031_222054,0.004891512624071646,2030.2851974964142,0.99999696,1.0,1.0,0.010066304706037045,147.7046241760254,0.9995,0.9995,0.9995
26,20231031_222054,0.004761251081922448,2027.7760899066925,1.0,1.0,1.0,0.0100494764149189,151.94591999053955,0.9995555,0.9995555,0.9995555
27,20231031_222054,0.0046790470287643975,2027.828497171402,0.99999183,1.0,1.0,0.009635057661682368,152.1783163547516,0.99938464,0.99938464,0.99938464
28,20231031_222054,0.00453866397765656,2026.3409864902496,0.9999939,1.0,1.0,0.00932606979086995,152.45947098731995,0.99975246,0.99975246,0.99975246
29,20231031_222054,0.004353100486591535,2027.3460750579834,0.9999635,1.0,0.99993366,0.009802413422614335,147.65570878982544,0.9995294,0.9995294,0.9995294
